umls_key	original_label	prefix	local_id	id_label
UMLS:C0075086	Squalene monooxygenase	MESH	D050603	Squalene Monooxygenase
UMLS:C1413703	CREB3	MESH	C107941	CREB3 protein, human
UMLS:C4043705	bococizumab	MESH	C000598888	bococizumab
UMLS:C4043705	bococizumab	DRUGBANK	DB12456	Bococizumab
UMLS:C5244855	opicapone 50 MG	RXCUI	2362179	
UMLS:C0082640	furanomycin	MESH	C063753	furanomycin
UMLS:C3272654	GLPG0187	MESH	C000612647	GLPG0187
UMLS:C1421279	UBE2F	MESH	C581960	UBE2F protein, human
UMLS:C0058400	diphtheria toxin fragment A	MESH	C029795	diphtheria toxin fragment A
UMLS:C0603695	Daypro	RXCUI	157381	
UMLS:C5391563	NSP1 protein, SARS-CoV-2	MESH	C000706293	NSP1 protein, SARS-CoV-2
UMLS:C1699342	TGFB2	MESH	C509041	TGFB2 protein, human
UMLS:C1452491	RLF protein, Xenopus	MESH	C490804	RLF protein, Xenopus
UMLS:C1421842	ZNF84	MESH	C451412	ZNF84 protein, human
UMLS:C1610457	MTF1	MESH	C000728074	MTF1 protein, human
UMLS:C1428895	MUS81	MESH	C498772	MUS81 protein, human
UMLS:C5416831	MVC-COV1901	DRUGBANK	DB15854	MVC-COV1901
UMLS:C5416831	MVC-COV1901	MESH	C000718807	MVC-COV1901 vaccine
UMLS:C1422191	RNF24	MESH	C530470	RNF24 protein, human
