input_curie	preferred_identifier	preferred_label	confidence	method	evidence
NCIT:C67030	UMLS:C1883225	Support Group Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D015013	UMLS:C1883583	Yoga	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C64897	UMLS:C1883583	Yoga	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
SNOMEDCT:1259940003	UMLS:C1883583	Yoga	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C1883583	Yoga	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D057748	UMLS:C2242515	Mesotherapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:433497004	UMLS:C2316067	Journaling	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:432085004	UMLS:C2316341	Massage of abdomen	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D055097	UMLS:C2350276	Auriculotherapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D055161	UMLS:C2350293	Speleotherapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D055670	UMLS:C2350504	Medicine, Korean Traditional	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D010989	UMLS:C2350829		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C2584291	Therapeutic Massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:440240000	UMLS:C2585844	Aromatherapy massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
NCIT:C93320	UMLS:C2585844	Aromatherapy massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
SNOMEDCT:439062004	UMLS:C2586030	Anthroposophical medicine (regime/therapy)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C2586030	Anthroposophical medicine (regime/therapy)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
